City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Butaritari,KI,82.36,light rain,3.0707,172.7902,Isles Sunset Lodge
2,Lorengau,PG,82.96,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
5,Sola,VU,82.94,overcast clouds,-13.8833,167.55,Leumerus Bungalows
6,Kailua,US,84.18,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
8,Georgetown,MY,76.95,scattered clouds,5.4112,100.3354,Cititel Penang
9,Ciudad Bolivar,VE,84.13,overcast clouds,8.1222,-63.5497,Hotel Edi
13,Hilo,US,78.53,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
17,Quatre Cocos,MU,78.91,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
24,Noumea,NC,84.18,broken clouds,-22.2763,166.4572,Hôtel Le Lagon
30,Atambua,ID,79.59,scattered clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
31,Point Fortin,TT,79.14,few clouds,10.1833,-61.6833,Jus Les' Suites
36,Arraial Do Cabo,BR,76.53,few clouds,-22.9661,-42.0278,Pousada Porto Praia
47,Bambous Virieux,MU,79.05,light rain,-20.3428,57.7575,Casa Tia Villa
48,Rikitea,PF,79.32,clear sky,-23.1203,-134.9692,People ThankYou
51,Grand Gaube,MU,79.2,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
56,Banda Aceh,ID,75.78,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
66,Tual,ID,82.78,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
68,Vaini,TO,77.16,light intensity drizzle,-21.2,-175.2,Keleti Beach Resort
69,Kahului,US,82.42,few clouds,20.8947,-156.47,Maui Seaside Hotel
70,Port Blair,IN,78.03,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
71,Makakilo City,US,82.72,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
83,Tarakan,ID,78.3,scattered clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
93,Kapaa,US,78.78,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
94,Faanui,PF,81.66,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
98,Acarau,BR,79.81,scattered clouds,-2.8856,-40.12,castelo pizzaria
104,Dingle,PH,78.17,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
108,Namatanai,PG,85.14,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
111,Yulara,AU,82.24,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
117,Muncar,ID,78.96,overcast clouds,-8.4333,114.3333,Zaky Homestay
120,Hithadhoo,MV,81.99,scattered clouds,-0.6,73.0833,Scoop Guest House
122,Avarua,CK,82.45,few clouds,-21.2078,-159.775,Paradise Inn
125,Lazaro Cardenas,MX,81.55,few clouds,17.9583,-102.2,quinta antigua
126,Mahebourg,MU,79.09,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
133,Fomboni,KM,82.8,scattered clouds,-12.28,43.7425,Auberge les abou
135,Aitape,PG,80.73,overcast clouds,-3.1374,142.3475,
136,Beira,MZ,77.09,broken clouds,-19.8436,34.8389,Beira Terrace Hotel
140,Pandan,PH,77.65,overcast clouds,14.0453,124.1694,Bonifacio Lodge
145,Galle,LK,77.31,broken clouds,6.0367,80.217,Amangalla
147,Warri,NG,75.92,clear sky,5.5167,5.75,BON Hotel Delta
148,Bathsheba,BB,79.41,broken clouds,13.2167,-59.5167,Atlantis Hotel
150,Cap Malheureux,MU,79.29,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
155,Kudahuvadhoo,MV,81.12,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
159,Manadhoo,MV,79.77,broken clouds,5.7667,73.3833,Bon Abri maldives
162,Port-Gentil,GA,79.68,few clouds,-0.7193,8.7815,Fengshui Residence
166,Daru,PG,84.04,overcast clouds,-9.0763,143.2092,Daru Lodge
167,Samarai,PG,85.23,overcast clouds,-10.6167,150.6667,Nuli Sapi
174,Coihaique,CL,77.61,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
176,Axim,GH,78.39,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
180,Morant Bay,JM,76.62,clear sky,17.8815,-76.4093,Whispering Bamboo Cove Resort
184,Yeppoon,AU,80.38,clear sky,-23.1333,150.7333,Villa Mar Colina
185,Calamar,CO,78.75,clear sky,10.2511,-74.9146,Hostal Katyalex
187,Laguna De Perlas,NI,77.14,clear sky,12.3429,-83.6712,Hotel Best View
