City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Butaritari,KI,3.0707,172.7902,82.36,75,51,15.37,light rain
1,Severo-Kurilsk,RU,50.6789,156.125,31.41,79,100,11.81,overcast clouds
2,Lorengau,PG,-2.0226,147.2712,82.96,79,100,8.5,overcast clouds
3,Tiszaluc,HU,48.0333,21.0833,39.09,80,100,13.96,light rain
4,Kijang,KR,35.2442,129.2139,31.73,42,19,5.1,few clouds
5,Sola,VU,-13.8833,167.55,82.94,80,100,19.8,overcast clouds
6,Kailua,US,21.4022,-157.7394,84.18,72,21,8.01,few clouds
7,Punta Arenas,CL,-53.15,-70.9167,53.71,82,75,9.22,broken clouds
8,Georgetown,MY,5.4112,100.3354,76.95,91,40,2.3,scattered clouds
9,Ciudad Bolivar,VE,8.1222,-63.5497,84.13,59,86,15.75,overcast clouds
10,Yellowknife,CA,62.456,-114.3525,-1.68,84,75,5.75,light snow
11,Montepuez,MZ,-13.1256,38.9997,68.92,96,98,4.12,overcast clouds
12,Omsukchan,RU,62.5333,155.8,-10.17,73,1,2.04,clear sky
13,Hilo,US,19.7297,-155.09,78.53,75,100,11.5,overcast clouds
14,Yanam,IN,16.7333,82.2167,64.85,91,94,2.57,overcast clouds
15,Mazyr,BY,52.0495,29.2456,32.94,95,100,12.75,overcast clouds
16,Kodiak,US,57.79,-152.4072,36.91,44,100,11.5,overcast clouds
17,Quatre Cocos,MU,-20.2078,57.7625,78.91,84,94,9.1,light rain
18,Tiksi,RU,71.6872,128.8694,-16.11,99,100,5.28,overcast clouds
19,Belaya Gora,RU,68.5333,146.4167,-44.28,99,73,0.98,broken clouds
20,Hermanus,ZA,-34.4187,19.2345,64.9,95,21,3.29,few clouds
21,Pasni,PK,25.2631,63.471,69.85,84,0,8.9,light rain
22,Bluff,NZ,-46.6,168.3333,60.8,62,1,11.01,clear sky
23,Cape Town,ZA,-33.9258,18.4232,65.26,84,20,3.44,few clouds
24,Noumea,NC,-22.2763,166.4572,84.18,81,56,9.71,broken clouds
25,Port Elizabeth,ZA,-33.918,25.5701,71.1,77,0,4.61,clear sky
26,Erenhot,CN,43.6475,111.9767,1.27,87,5,5.06,clear sky
27,Bandarbeyla,SO,9.4942,50.8122,74.7,74,76,13.4,broken clouds
28,Cidreira,BR,-30.1811,-50.2056,71.47,72,6,10.98,clear sky
29,Thompson,CA,55.7435,-97.8558,-7.44,71,75,3.44,broken clouds
30,Atambua,ID,-9.1061,124.8925,79.59,77,42,2.04,scattered clouds
31,Point Fortin,TT,10.1833,-61.6833,79.14,84,23,13.85,few clouds
32,Nikolskoye,RU,59.7035,30.7861,35.87,93,100,11.05,overcast clouds
33,Huntsville,US,34.7304,-86.5861,45.73,60,0,1.01,clear sky
34,San Quintin,MX,30.4833,-115.95,63.95,34,0,7.0,clear sky
35,Council Bluffs,US,41.2619,-95.8608,38.3,43,0,10.36,clear sky
36,Arraial Do Cabo,BR,-22.9661,-42.0278,76.53,89,14,21.83,few clouds
37,Sakakah,SA,29.9697,40.2064,44.17,56,0,4.45,clear sky
38,Grindavik,IS,63.8424,-22.4338,32.47,64,100,28.77,snow
39,Albany,US,42.6001,-73.9662,21.45,74,62,1.99,broken clouds
40,Qaanaaq,GL,77.484,-69.3632,-12.98,59,31,8.28,scattered clouds
41,Chuy,UY,-33.6971,-53.4616,64.17,59,5,13.96,clear sky
42,Honningsvag,NO,70.9821,25.9704,25.79,79,29,28.27,scattered clouds
43,Hobart,AU,-42.8794,147.3294,71.26,54,20,1.01,few clouds
44,Mengcheng,CN,33.2579,116.5655,32.22,86,100,7.72,light snow
45,Aguimes,ES,27.9054,-15.4461,63.66,63,20,17.27,few clouds
46,Haines Junction,CA,60.7522,-137.5108,40.95,38,78,10.36,broken clouds
47,Bambous Virieux,MU,-20.3428,57.7575,79.05,83,40,8.05,light rain
48,Rikitea,PF,-23.1203,-134.9692,79.32,71,3,18.54,clear sky
49,Nemuro,JP,43.3236,145.575,28.83,73,55,11.61,broken clouds
50,Castro,BR,-24.7911,-50.0119,65.37,83,47,1.86,scattered clouds
51,Grand Gaube,MU,-20.0064,57.6608,79.2,83,90,5.99,overcast clouds
52,Ushuaia,AR,-54.8,-68.3,60.46,63,75,6.91,broken clouds
53,Mataura,NZ,-46.1927,168.8643,60.48,40,6,1.07,clear sky
54,Along,IN,28.1667,94.7667,45.72,98,50,1.05,scattered clouds
55,Catamarca,AR,-28.4696,-65.7852,74.77,59,31,1.99,scattered clouds
56,Banda Aceh,ID,5.5577,95.3222,75.78,91,100,5.26,overcast clouds
57,Havre-Saint-Pierre,CA,50.2334,-63.5986,6.8,60,75,12.66,broken clouds
