City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Arlit,NE,2022-02-03 01:00:36,18.7369,7.3853,60.37,16,0,12.33
1,Upernavik,GL,2022-02-03 01:02:47,72.7868,-56.1549,-8.97,67,100,8.77
2,Nenjiang,CN,2022-02-03 01:01:13,49.1833,125.2167,-9.4,93,59,3.2
3,Guerrero Negro,MX,2022-02-03 00:57:51,27.9769,-114.0611,63.34,37,0,15.1
4,Zyryanovsk,KZ,2022-02-03 01:02:48,49.7386,84.2719,-16.6,99,70,1.23
5,Saskylakh,RU,2022-02-03 01:02:48,71.9167,114.0833,-31.61,100,17,2.82
6,Carnarvon,AU,2022-02-03 01:02:49,-24.8667,113.6333,87.93,48,6,5.06
7,Lebu,CL,2022-02-03 01:02:49,-37.6167,-73.65,60.15,88,81,10.4
8,Kodiak,US,2022-02-03 01:02:50,57.79,-152.4072,36.91,93,100,8.05
9,Punta Arenas,CL,2022-02-03 00:58:13,-53.15,-70.9167,48.31,71,75,3.44
10,Butaritari,KI,2022-02-03 01:02:50,3.0707,172.7902,81.79,78,100,16.22
11,Port Moresby,PG,2022-02-03 01:02:51,-9.4431,147.1797,85.17,55,99,6.91
12,Bluff,NZ,2022-02-03 01:02:51,-46.6,168.3333,58.8,65,100,17.09
13,Rikitea,PF,2022-02-03 01:02:51,-23.1203,-134.9692,78.6,73,84,7.74
14,Kapaa,US,2022-02-03 01:02:52,22.0752,-159.319,81.48,66,9,1.99
15,Karchaghbyur,AM,2022-02-03 01:02:53,40.1705,45.5779,23.0,61,94,5.86
16,Vardo,NO,2022-02-03 01:02:53,70.3705,31.1107,29.46,57,100,18.79
17,Ushuaia,AR,2022-02-03 01:02:53,-54.8,-68.3,36.88,85,8,3.31
18,Provideniya,RU,2022-02-03 01:02:54,64.3833,-173.3,8.71,78,75,31.32
19,Hobart,AU,2022-02-03 00:59:56,-42.8794,147.3294,62.46,82,75,1.01
20,Barra Do Garcas,BR,2022-02-03 01:00:40,-15.89,-52.2567,73.53,95,100,3.27
21,Kavaratti,IN,2022-02-03 01:01:01,10.5669,72.642,79.72,71,14,10.45
22,Portland,US,2022-02-03 01:01:02,45.5234,-122.6762,46.45,93,100,1.01
23,Quiniput,PH,2022-02-03 01:02:55,7.1783,122.221,82.85,69,77,2.26
24,Mataura,NZ,2022-02-03 01:02:55,-46.1927,168.8643,58.48,91,100,3.62
25,Lata,PT,2022-02-03 01:02:56,40.1629,-8.3327,46.06,77,83,1.81
26,Bambous Virieux,MU,2022-02-03 01:02:56,-20.3428,57.7575,78.22,89,100,31.14
27,Leningradskiy,RU,2022-02-03 01:02:57,69.3833,178.4167,-13.13,94,25,9.73
28,Hasaki,JP,2022-02-03 01:02:57,35.7333,140.8333,41.29,42,100,8.97
29,Caravelas,BR,2022-02-03 00:59:03,-17.7125,-39.2481,76.37,90,12,5.03
30,Strezhevoy,RU,2022-02-03 01:02:58,60.7333,77.5889,21.18,93,100,11.03
31,Biak,ID,2022-02-03 01:02:58,-0.9131,122.8766,82.18,64,99,2.77
32,Tessalit,ML,2022-02-03 01:02:59,20.1986,1.0114,59.86,15,7,11.05
33,Paamiut,GL,2022-02-03 01:02:59,61.994,-49.6678,14.22,62,100,20.42
34,Jamestown,US,2022-02-03 01:00:20,42.097,-79.2353,39.29,49,100,5.99
35,Ancud,CL,2022-02-03 01:03:00,-41.8697,-73.8203,60.42,89,75,3.2
36,Port Alfred,ZA,2022-02-03 01:03:00,-33.5906,26.891,73.54,92,100,8.9
37,Youghal,IE,2022-02-03 01:03:00,51.95,-7.8506,47.01,100,91,6.69
38,Kidal,ML,2022-02-03 01:03:01,18.4411,1.4078,62.74,15,6,12.57
39,Nsanje,MW,2022-02-03 01:03:01,-16.92,35.262,71.67,94,100,1.25
40,Camacha,PT,2022-02-03 01:03:02,33.0833,-16.3333,63.54,88,40,12.66
41,Albany,US,2022-02-03 01:01:33,42.6001,-73.9662,41.47,77,100,3.38
42,Busselton,AU,2022-02-03 01:03:02,-33.65,115.3333,76.05,36,53,16.06
43,Cidreira,BR,2022-02-03 00:59:01,-30.1811,-50.2056,75.49,86,5,18.97
44,Barrow,US,2022-02-03 01:01:51,71.2906,-156.7887,-20.18,63,0,4.61
45,Saint-Philippe,RE,2022-02-03 01:03:03,-21.3585,55.7679,80.19,95,100,34.02
46,Qaanaaq,GL,2022-02-03 01:03:04,77.484,-69.3632,-10.7,83,100,6.93
47,Angoche,MZ,2022-02-03 01:03:04,-16.2325,39.9086,74.64,91,12,5.44
48,Los Llanos De Aridane,ES,2022-02-03 01:03:05,28.6585,-17.9182,67.12,62,75,8.99
49,Prokopyevsk,RU,2022-02-03 01:04:05,53.9059,86.719,-3.21,100,100,1.23
50,Dikson,RU,2022-02-03 01:04:05,73.5069,80.5464,-6.81,97,100,12.28
51,New Norfolk,AU,2022-02-03 01:04:06,-42.7826,147.0587,62.1,91,99,4.43
52,North Myrtle Beach,US,2022-02-03 00:59:53,33.816,-78.68,56.34,85,75,1.99
53,Laguna,US,2022-02-03 01:04:06,38.421,-121.4238,59.05,32,0,8.01
54,Vao,NC,2022-02-03 01:04:07,-22.6667,167.4833,78.37,71,100,9.89
55,Tuktoyaktuk,CA,2022-02-03 01:04:07,69.4541,-133.0374,-18.51,98,99,9.71
56,Mar Del Plata,AR,2022-02-03 01:01:55,-38.0023,-57.5575,71.13,74,100,9.73
57,Lompoc,US,2022-02-03 01:04:08,34.6391,-120.4579,62.49,44,0,14.97
58,Cape Town,ZA,2022-02-03 01:01:51,-33.9258,18.4232,66.11,88,0,3.0
59,Jardim,BR,2022-02-03 01:02:34,-21.4803,-56.1381,74.03,92,23,4.5
60,Hithadhoo,MV,2022-02-03 01:04:08,-0.6,73.0833,81.37,70,6,2.71
61,Rio Grande,BR,2022-02-03 01:02:43,-32.035,-52.0986,73.85,85,0,18.79
62,Tasiilaq,GL,2022-02-03 01:04:09,65.6145,-37.6368,10.56,80,95,5.39
63,Namatanai,PG,2022-02-03 01:04:09,-3.6667,152.4333,78.94,83,100,8.68
64,Charlotte,US,2022-02-03 01:01:40,35.2271,-80.8431,51.39,52,100,1.99
65,Aklavik,CA,2022-02-03 01:04:10,68.2191,-135.0107,-24.41,98,99,3.78
66,Haines Junction,CA,2022-02-03 01:04:10,60.7522,-137.5108,4.19,98,100,1.81
67,Gonbad-E Qabus,IR,2022-02-03 01:04:11,37.25,55.1672,48.7,50,0,5.3
68,Hilo,US,2022-02-03 01:04:11,19.7297,-155.09,78.53,73,75,8.05
69,Port Lincoln,AU,2022-02-03 01:00:15,-34.7333,135.8667,65.19,58,75,15.64
70,Muros,ES,2022-02-03 01:04:13,42.7762,-9.0603,54.23,89,100,6.42
71,Kaitangata,NZ,2022-02-03 01:04:13,-46.2817,169.8464,54.25,95,100,3.04
72,Burns Lake,CA,2022-02-03 01:00:20,54.2331,-125.7533,14.09,97,100,1.12
